source,target,frequency,band
Fp1,O1,193,alpha
F8,C4,193,alpha
F7,P3,193,alpha
P4,F4,193,alpha
T3,F7,193,alpha
Fp1,PZ,193,alpha
Fp1,T3,193,alpha
O1,FZ,192,alpha
F7,C4,192,alpha
FZ,C4,192,alpha
Fp1,C3,192,alpha
T6,F7,192,alpha
T6,Fp1,192,alpha
F3,CZ,192,alpha
F3,T3,192,alpha
C3,PZ,192,alpha
F3,O1,192,alpha
F8,P4,192,alpha
T3,F3,192,alpha
F8,T6,192,alpha
C3,O1,192,alpha
C3,F3,192,alpha
C3,Fp2,192,alpha
F7,CZ,192,alpha
P4,T6,192,alpha
P3,Fp1,192,alpha
O1,F3,192,alpha
P3,C3,192,alpha
P3,T3,192,alpha
Fp1,CZ,192,alpha
Fp2,PZ,192,alpha
FZ,CZ,192,alpha
FZ,PZ,192,alpha
C4,Fp2,192,alpha
C3,P4,192,alpha
C4,F8,192,alpha
Fp2,C4,192,alpha
P3,F7,192,alpha
P3,F3,192,alpha
F7,T3,192,alpha
F7,PZ,192,alpha
Fp2,CZ,191,alpha
CZ,F7,191,alpha
CZ,C3,191,alpha
Fp2,O1,191,alpha
Fp1,P3,191,alpha
PZ,FZ,191,alpha
FZ,F8,191,alpha
FZ,F3,191,alpha
Fp1,C4,191,alpha
FZ,O1,191,alpha
PZ,O2,191,alpha
PZ,F7,191,alpha
O1,Fp2,191,alpha
F3,C3,191,alpha
CZ,F3,191,alpha
O1,Fp1,191,alpha
T6,Fp2,191,alpha
T6,F3,191,alpha
T6,F8,191,alpha
T6,T3,191,alpha
Fp1,T6,191,alpha
Fp2,T6,191,alpha
F3,P3,191,alpha
Fp2,F8,191,alpha
P4,F8,191,alpha
T3,Fp1,191,alpha
P4,C3,191,alpha
T3,T6,191,alpha
F3,C4,191,alpha
O2,C4,191,alpha
F7,O1,191,alpha
T5,F3,191,alpha
T3,CZ,191,alpha
T3,PZ,191,alpha
T5,Fp1,191,alpha
F4,C4,191,alpha
C3,CZ,191,alpha
C3,T5,191,alpha
C4,Fp1,191,alpha
C4,T5,191,alpha
C4,F3,191,alpha
C4,F4,191,alpha
C4,P3,191,alpha
T3,O1,191,alpha
C3,F7,191,alpha
F4,Fp1,191,alpha
F4,P3,191,alpha
F3,PZ,191,alpha
C4,F7,191,alpha
C3,Fp1,191,alpha
F4,FZ,191,alpha
F4,T6,191,alpha
O2,P3,191,alpha
O1,O2,191,alpha
P3,C4,191,alpha
F8,F3,191,alpha
P3,Fp2,191,alpha
F8,Fp1,191,alpha
P3,T5,191,alpha
P3,F4,191,alpha
PZ,T3,190,alpha
Fp1,F3,190,alpha
O2,CZ,190,alpha
PZ,O1,190,alpha
FZ,T3,190,alpha
T6,FZ,190,alpha
FZ,F4,190,alpha
T6,O2,190,alpha
F4,T5,190,alpha
T6,F4,190,alpha
FZ,F7,190,alpha
FZ,O2,190,alpha
C3,FZ,190,alpha
C4,O1,190,alpha
C4,P4,190,alpha
F4,T4,190,alpha
F4,C3,190,alpha
F4,Fp2,190,alpha
F4,P4,190,alpha
C4,C3,190,alpha
T4,F8,190,alpha
T4,T5,190,alpha
T4,F3,190,alpha
C3,C4,190,alpha
P3,CZ,190,alpha
P4,Fp2,190,alpha
