source,target,frequency,band
Pg1,Pg2,254,alpha
Pg2,Pg1,254,alpha
Fp1,P4,251,alpha
F3,T6,250,alpha
P3,Fp2,250,alpha
T6,F4,250,alpha
P4,Fp1,250,alpha
Fp1,F8,249,alpha
Fp2,F7,249,alpha
Fp2,PZ,249,alpha
F3,P4,249,alpha
F4,P4,249,alpha
F4,CZ,249,alpha
P4,F3,249,alpha
O1,FZ,249,alpha
F7,F8,249,alpha
T4,F7,249,alpha
T5,O2,249,alpha
T5,F7,249,alpha
T6,Fp2,249,alpha
T6,F3,249,alpha
CZ,FZ,249,alpha
Fp1,FZ,248,alpha
Fp2,P4,248,alpha
Fp2,FZ,248,alpha
F4,P3,248,alpha
C3,O1,248,alpha
C4,O2,248,alpha
P4,F4,248,alpha
F7,FZ,248,alpha
F8,F7,248,alpha
T3,T5,248,alpha
T4,Fp2,248,alpha
FZ,Fp2,248,alpha
FZ,P4,248,alpha
FZ,T4,248,alpha
CZ,PZ,248,alpha
PZ,F4,248,alpha
Fp1,T4,247,alpha
Fp2,F4,247,alpha
Fp2,F8,247,alpha
Fp2,T6,247,alpha
C3,T4,247,alpha
C4,PZ,247,alpha
P3,C3,247,alpha
P3,T5,247,alpha
P3,CZ,247,alpha
O1,C3,247,alpha
O2,C3,247,alpha
O2,O1,247,alpha
F7,F4,247,alpha
F7,P3,247,alpha
F7,T5,247,alpha
F8,C3,247,alpha
F8,T4,247,alpha
T3,P4,247,alpha
T3,PZ,247,alpha
T4,Fp1,247,alpha
T6,FZ,247,alpha
FZ,P3,247,alpha
FZ,CZ,247,alpha
CZ,Fp2,247,alpha
CZ,F4,247,alpha
CZ,F8,247,alpha
P3,FZ,247,alpha
Fp1,PZ,246,alpha
Fp2,T4,246,alpha
Fp2,CZ,246,alpha
F3,P3,246,alpha
F3,CZ,246,alpha
F4,C3,246,alpha
F4,F8,246,alpha
C3,Fp2,246,alpha
C4,T6,246,alpha
P4,O2,246,alpha
P4,F7,246,alpha
O2,F3,246,alpha
O2,P3,246,alpha
O2,F8,246,alpha
F7,Fp2,246,alpha
F7,P4,246,alpha
F7,T4,246,alpha
F8,C4,246,alpha
T3,P3,246,alpha
T4,F4,246,alpha
T4,F8,246,alpha
T4,T5,246,alpha
T4,T6,246,alpha
T4,FZ,246,alpha
T4,PZ,246,alpha
T6,C4,246,alpha
FZ,F7,246,alpha
FZ,F8,246,alpha
FZ,T6,246,alpha
CZ,Fp1,246,alpha
CZ,F3,246,alpha
CZ,T6,246,alpha
PZ,F3,246,alpha
PZ,T5,246,alpha
Fp1,F3,245,alpha
Fp1,C3,245,alpha
Fp1,P3,245,alpha
Fp1,CZ,245,alpha
F3,O2,245,alpha
F3,T3,245,alpha
F3,FZ,245,alpha
F4,O1,245,alpha
F4,T4,245,alpha
C3,P3,245,alpha
C4,FZ,245,alpha
P3,F3,245,alpha
P3,T6,245,alpha
P4,Fp2,245,alpha
P4,T3,245,alpha
P4,T4,245,alpha
P4,T5,245,alpha
P4,T6,245,alpha
P4,FZ,245,alpha
F7,C4,245,alpha
F7,O2,245,alpha
T3,F3,245,alpha
T3,O1,245,alpha
T6,F8,245,alpha
FZ,Fp1,245,alpha
CZ,O2,245,alpha
PZ,P3,245,alpha
PZ,T4,245,alpha
Fp1,Fp2,244,alpha
Fp1,O1,244,alpha
Fp1,T6,244,alpha
